Variable,Text,Type,Value,Description
ClientNameFull,Andy Heron,V,,
ClientFirst,Andy,V,,
ClientLast,Heron,V,,
ClientOrg,Heron Unlimited,V,,
ClientAddress,1234 MainStreet,V,,
ClientAddress2,Suite 820,V,,
ClientCity,Beverly Hills,V,,
ClientState,CA,V,,
ClientZipcode,90210,V,,
ClientMrMs,Mr.,V,,
Subject,"Cybersecurity Incident of April 8, 2025",V,,
OurFileNo,H-240288,V,,
SenderNameFull,Wells H. Anderson,V,,
SenderTitle,Founder,V,,Partner/Associate Attorney/Paralegal/Legal Assistant
OptionAddress2,,TF,F,
OptionOurFileNo,,TF,T,
OptionSenderTitle,,TF,T,

